track_id,frame_idx,confidence,width,height,num_keypoints,isolation_score,quality_score,total_frames,avg_confidence
1,397,1.0,236,324,15,1.0,0.8382812500000001,1068,0.9016880159186067
2,131,0.9186495542526245,103,195,15,1.0,0.7037825213538276,792,0.892012755753416
3,25,1.0,179,282,0,1.0,0.7912868923611112,32,0.9925449974834919
5,121,0.9341167211532593,131,176,12,1.0,0.7153422903131555,891,0.9017487859351333
7,329,0.8602834343910217,61,121,9,1.0,0.6574615363721494,19,0.8210130929946899
8,406,0.8871990442276001,87,109,12,1.0,0.6720291402604845,52,0.8558119363509692
11,423,0.870971143245697,66,149,11,1.0,0.6661727454927233,41,0.8259179228689613
